Start,End,Antecedent,Consequent,Support,Confidence,Lift
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin1, Idle Mean=bin0, Total Length of Bwd Packets=bin0}",Total Fwd Packets=bin0,12,0.92,459.38
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Fwd Packets=bin1, Total Length of Bwd Packets=bin0, Idle Mean=bin0}",Total Backward Packets=bin0,11,0.92,497.67
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Destination IP=192.168.10.3}",Destination Port=53,1052,0.98,5.55
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0, Destination Port=80}",Flow Duration=bin0,2304,0.96,2.49
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=80}",Flow Duration=bin0,2300,0.97,2.53
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Idle Mean=bin0, Destination Port=80}",Total Backward Packets=bin0,2393,1.00,2.49
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin4, Idle Mean=bin0, Destination Port=80}",Total Backward Packets=bin0,47,0.98,124.42
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=80}",Total Backward Packets=bin0,2386,1.00,2.50
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Destination Port=80}",Total Backward Packets=bin0,2770,1.00,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Destination Port=80}",Total Backward Packets=bin0,2749,0.99,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=80}",Total Backward Packets=bin0,2776,1.00,2.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Idle Mean=bin0, Destination Port=80}",Total Fwd Packets=bin0,2393,1.00,2.49
