Start,End,Antecedent,Consequent,Support,Confidence,Lift
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Length of Fwd Packets=bin0}",Total Backward Packets=bin0,22293,1.00,1.18
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0}",Total Backward Packets=bin0,22312,1.00,1.18
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Length of Fwd Packets=bin1, Destination Port=443}",Flow Duration=bin4,14,0.93,24.98
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin4, Idle Mean=bin2}",Destination Port=443,205,0.98,6.91
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Active Mean=bin0, Flow Duration=bin4, Idle Mean=bin2}",Destination Port=443,202,0.98,6.94
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Length of Fwd Packets=bin0, Destination Port=443}",Total Backward Packets=bin0,2435,0.94,10.17
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443}",Total Backward Packets=bin0,3304,1.00,7.92
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Flow Duration=bin4, Idle Mean=bin0, Destination Port=443}",Total Backward Packets=bin0,396,0.98,65.04
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443}",Total Backward Packets=bin0,2577,1.00,10.18
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Length of Fwd Packets=bin0, Destination Port=443}",Total Backward Packets=bin0,3666,0.99,7.13
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin2, Total Length of Fwd Packets=bin0, Destination Port=443}",Total Length of Bwd Packets=bin0,344,1.00,76.17
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Flow Duration=bin4, Destination Port=443}",Total Length of Bwd Packets=bin0,609,0.99,42.52
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Length of Fwd Packets=bin0, Destination Port=443}",Total Length of Bwd Packets=bin0,2498,0.97,10.17
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443}",Total Length of Bwd Packets=bin0,3305,1.00,7.92
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Flow Duration=bin4, Idle Mean=bin0, Destination Port=443}",Total Length of Bwd Packets=bin0,398,0.99,65.04
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Flow Duration=bin4, Destination Port=443, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,607,1.00,43.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0}",Total Backward Packets=bin0,3301,1.00,7.95
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0}",Total Length of Bwd Packets=bin0,3301,1.00,7.95
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination Port=443}",Total Length of Bwd Packets=bin0,3669,1.00,7.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination Port=443}",Total Length of Bwd Packets=bin0,3667,1.00,7.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination Port=443}",Total Backward Packets=bin0,3668,1.00,7.15
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Total Fwd Packets=bin0, Flow Duration=bin4, Destination Port=443}",Total Backward Packets=bin0,607,0.99,43.01
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Idle Mean=bin1}",Total Backward Packets=bin0,83,0.99,312.83
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Destination Port=443}",Total Backward Packets=bin0,2501,1.00,10.49
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Idle Mean=bin0, Destination Port=443}",Total Backward Packets=bin0,3322,1.00,7.87
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin4, Idle Mean=bin0, Destination Port=443}",Total Backward Packets=bin0,412,0.98,62.57
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Idle Mean=bin0, Destination Port=443}",Total Backward Packets=bin0,2578,1.00,10.17
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Destination Port=443, Idle Mean=bin1}",Total Length of Bwd Packets=bin0,83,0.99,312.83
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin2, Destination Port=443}",Total Length of Bwd Packets=bin0,345,1.00,75.95
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin4, Destination Port=443}",Total Length of Bwd Packets=bin0,630,0.99,41.12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Idle Mean=bin0, Destination Port=443}",Total Length of Bwd Packets=bin0,3323,1.00,7.87
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin4, Idle Mean=bin0, Destination Port=443}",Total Length of Bwd Packets=bin0,414,0.99,62.57
