Start,End,ClosedPattern,Support
2017-07-07 03:30:00,2017-07-07 04:00:00,{Total Fwd Packets=bin0},26261
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Backward Packets=bin0}",26251
2017-07-07 03:30:00,2017-07-07 04:00:00,{Total Length of Fwd Packets=bin0},26223
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",26196
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0}",26206
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Total Length of Bwd Packets=bin0}",26194
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Fwd Packets=bin1, Total Backward Packets=bin0, Total Length of Bwd Packets=bin0}",29
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0, Total Length of Bwd Packets=bin0}",26192
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Backward Packets=bin0, Total Length of Bwd Packets=bin0}",26247
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0}",26249
2017-07-07 03:30:00,2017-07-07 04:00:00,{Active Mean=bin0},26273
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin1, Total Length of Fwd Packets=bin0, Total Backward Packets=bin1}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Length of Fwd Packets=bin0}",26221
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0}",26204
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Total Length of Bwd Packets=bin0}",26192
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Backward Packets=bin0, Total Length of Fwd Packets=bin1, Total Length of Bwd Packets=bin0}",27
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",26190
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Backward Packets=bin0, Total Length of Bwd Packets=bin0}",26242
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0}",26244
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",26194
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Backward Packets=bin0}",26246
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0}",26256
2017-07-07 03:30:00,2017-07-07 04:00:00,{Idle Mean=bin0},23585
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Bwd Packets=bin1, Active Mean=bin0, Idle Mean=bin0}",19
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Length of Fwd Packets=bin1, Idle Mean=bin0, Total Length of Bwd Packets=bin0, Total Backward Packets=bin0}",22
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Backward Packets=bin0, Idle Mean=bin0, Total Length of Fwd Packets=bin1}",24
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Length of Fwd Packets=bin0, Idle Mean=bin0}",23536
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin1, Total Length of Fwd Packets=bin0, Idle Mean=bin0}",10
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Total Length of Fwd Packets=bin0, Total Backward Packets=bin1}",10
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Length of Fwd Packets=bin0, Idle Mean=bin0, Total Backward Packets=bin1}",17
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",23509
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0}",23511
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",23513
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Idle Mean=bin0}",23525
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0, Idle Mean=bin0}",23523
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Length of Fwd Packets=bin0, Idle Mean=bin0}",23534
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Total Backward Packets=bin0, Idle Mean=bin0, Total Length of Bwd Packets=bin0}",23560
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Total Length of Bwd Packets=bin0, Total Backward Packets=bin0}",23555
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Idle Mean=bin0, Total Length of Bwd Packets=bin0}",23562
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Total Length of Bwd Packets=bin0}",23557
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Idle Mean=bin0, Total Backward Packets=bin0}",23564
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Total Backward Packets=bin0}",23535
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0, Total Backward Packets=bin0}",23559
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Total Fwd Packets=bin0, Idle Mean=bin0}",23574
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0}",23569
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0}",23580
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",22292
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Length of Fwd Packets=bin0, Total Backward Packets=bin0}",22293
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Fwd Packets=bin0, Total Length of Fwd Packets=bin0}",22297
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Length of Fwd Packets=bin0, Idle Mean=bin0}",22301
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Length of Fwd Packets=bin0}",22302
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Total Length of Bwd Packets=bin0, Total Backward Packets=bin0}",22311
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Total Backward Packets=bin0}",22312
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0}",22316
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0}",22321
2017-07-07 03:30:00,2017-07-07 04:00:00,{Destination Port=443},3712
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin4, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Destination IP=54.209.123.201}",10
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Flow Duration=bin0, Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=64.210.147.104}",11
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=93.184.216.172}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Flow Duration=bin4, Idle Mean=bin0, Destination Port=443, Total Backward Packets=bin0, Total Fwd Packets=bin0, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=93.184.216.172}",10
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Fwd Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=93.184.216.172}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Total Backward Packets=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=93.184.216.172}",12
2017-07-07 03:30:00,2017-07-07 04:00:00,"{Active Mean=bin0, Idle Mean=bin0, Destination Port=443, Total Length of Bwd Packets=bin0, Total Length of Fwd Packets=bin0, Destination IP=93.184.216.172}",12
