min_len,min_rules,num_rules,TP,FP,TN,FN,precision,recall,f1
4,150,419,10367,494,12006,2133,0.9545161587330817,0.82936,0.8875476221052181
3,200,682,10367,2631,9869,2133,0.7975842437298046,0.82936,0.8131618166130676
4,100,419,10367,2631,9869,2133,0.7975842437298046,0.82936,0.8131618166130676
2,200,771,10367,2676,9824,2133,0.7948324771908303,0.82936,0.8117292408879145
3,150,682,10367,2788,9712,2133,0.7880653743823641,0.82936,0.8081855388813097
2,150,771,10367,2986,9514,2133,0.7763798397363888,0.82936,0.8019958998955634
4,50,419,12329,6961,5539,171,0.6391394504924831,0.98632,0.7756527209814407
3,50,682,12490,7221,5279,10,0.6336563340266856,0.9992,0.7755114712365341
2,50,771,12490,7231,5269,10,0.633335023578926,0.9992,0.7752707861332672
2,100,771,10785,6979,5521,1715,0.6071267732492682,0.8628,0.7127279936558287
3,100,682,10684,6969,5531,1816,0.6052229082875432,0.85472,0.7086525387191988
4,200,419,5709,70,12430,6791,0.987887177712407,0.45672,0.6246512391268669
3,250,682,5709,641,11859,6791,0.8990551181102362,0.45672,0.6057294429708223
2,250,771,5709,2272,10228,6791,0.715323894248841,0.45672,0.5574923099458033
4,250,419,19,0,12500,12481,1.0,0.00152,0.003035386212956307
5,50,0,0,0,12500,12500,0.0,0.0,0.0
5,100,0,0,0,12500,12500,0.0,0.0,0.0
5,150,0,0,0,12500,12500,0.0,0.0,0.0
5,200,0,0,0,12500,12500,0.0,0.0,0.0
5,250,0,0,0,12500,12500,0.0,0.0,0.0
